Barcode;yaaY;ybiJ;yfaQ;yibN;yijD
ESC_AA7742AA_AS;1;1;1;1;1
ESC_AA7744AA_AS;1;1;1;1;1
ESC_AA7854AA_AS;1;1;1;1;1
ESC_AA7856AA_AS;1;1;1;1;1
ESC_AA7866AA_AS;1;1;1;1;1
ESC_AA7867AA_AS;1;1;1;1;1
ESC_AA7875AA_AS;1;1;1;1;1
ESC_AA7876AA_AS;1;1;1;1;1
ESC_AA7885AA_AS;1;1;1;1;1
ESC_AA7889AA_AS;1;1;1;1;1
ESC_AA7891AA_AS;1;1;1;1;1
ESC_AA7899AA_AS;1;1;1;1;1
ESC_AA7903AA_AS;1;1;1;1;1
ESC_AA7904AA_AS;1;1;1;1;1
ESC_AA7908AA_AS;1;1;1;1;1
ESC_AA7909AA_AS;1;1;1;1;1
ESC_AA7912AA_AS;1;1;1;1;1
ESC_AA7916AA_AS;1;1;1;1;1
ESC_AA7929AA_AS;1;1;1;1;1
ESC_AA7930AA_AS;1;1;1;1;1
ESC_AA7942AA_AS;1;1;1;1;1
ESC_AA7947AA_AS;1;1;1;1;1
ESC_AA7970AA_AS;1;1;1;1;1
ESC_AA7971AA_AS;1;1;1;1;1
ESC_AA7978AA_AS;1;1;1;1;1
ESC_AA7979AA_AS;1;1;1;1;1
ESC_AA7984AA_AS;1;1;1;1;1
ESC_AA7986AA_AS;1;1;1;1;1
ESC_AA7989AA_AS;1;1;1;1;1
ESC_AA7990AA_AS;1;1;1;1;1
ESC_AA8001AA_AS;1;1;1;1;1
ESC_AA8002AA_AS;1;1;1;1;1
ESC_AA8009AA_AS;1;1;1;1;1
ESC_AA8010AA_AS;1;1;1;1;1
ESC_AA8011AA_AS;1;1;1;1;1
ESC_AA8012AA_AS;1;1;1;1;1
ESC_AA8024AA_AS;1;1;1;1;1
ESC_AA8025AA_AS;1;1;1;1;1
ESC_AA8026AA_AS;1;1;1;1;1
ESC_AA8033AA_AS;1;1;1;1;1
ESC_AA8041AA_AS;1;1;1;1;1
ESC_AA8049AA_AS;1;1;1;1;1
ESC_AA8059AA_AS;1;1;1;1;1
ESC_AA8062AA_AS;1;1;1;1;1
ESC_AA8068AA_AS;1;1;1;1;1
ESC_AA8070AA_AS;1;1;1;1;1
ESC_AA8076AA_AS;1;1;1;1;1
ESC_AA8077AA_AS;1;1;1;1;1
ESC_AA8080AA_AS;1;1;1;1;1
ESC_AA8082AA_AS;1;1;1;1;1
ESC_AA8083AA_AS;1;1;1;1;1
ESC_AA8084AA_AS;1;1;1;1;1
ESC_AA8096AA_AS;1;1;1;1;1
ESC_AA8100AA_AS;1;1;1;1;1
ESC_AA8101AA_AS;1;1;1;1;1
ESC_AA8102AA_AS;1;1;1;1;1
ESC_AA8104AA_AS;1;1;1;1;1
ESC_AA8121AA_AS;1;1;1;1;1
ESC_AA8133AA_AS;1;1;1;1;1
ESC_AA8140AA_AS;1;1;1;1;1
ESC_AA8141AA_AS;1;1;1;1;1
ESC_AA8147AA_AS;1;1;1;1;1
ESC_AA8153AA_AS;1;1;1;1;1
ESC_AA8155AA_AS;1;1;1;1;1
ESC_AA8156AA_AS;1;1;1;1;1
ESC_AA8174AA_AS;1;1;1;1;1
ESC_AA8177AA_AS;1;1;1;1;1
ESC_AA8182AA_AS;1;1;1;1;1
ESC_AA8189AA_AS;1;1;1;1;1
ESC_AA8204AA_AS;1;1;1;1;1
ESC_AA8205AA_AS;1;1;1;1;1
ESC_AA8208AA_AS;1;1;1;1;1
ESC_AA8209AA_AS;1;1;1;1;1
ESC_AA8212AA_AS;1;1;1;1;1
ESC_AA8219AA_AS;1;1;1;1;1
ESC_AA8228AA_AS;1;1;1;1;1
ESC_AA8232AA_AS;1;1;1;1;1
ESC_AA8252AA_AS;1;1;1;1;1
ESC_AA8258AA_AS;1;1;1;1;1
ESC_AA8268AA_AS;1;1;1;1;1
ESC_AA8277AA_AS;1;1;1;1;1
ESC_AA8282AA_AS;1;1;1;1;1
ESC_AA8284AA_AS;1;1;1;1;1
ESC_AA8286AA_AS;1;1;1;1;1
ESC_AA8287AA_AS;1;1;1;1;1
ESC_AA8290AA_AS;1;1;1;1;1
ESC_AA8304AA_AS;1;1;1;1;1
ESC_AA8306AA_AS;1;1;1;1;1
ESC_AA8312AA_AS;1;1;1;1;1
ESC_AA8316AA_AS;1;1;1;1;1
